ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,
0,4,6,7,0,3,4,6,0,0,2,7,0,4,0,2,5,6,4,7,7,2,1,4,0,4,1,4,4,6,3,3,7,2,7,6,3,2,7,1,2,6,5,7,0,4,5,6,4,7,3,0,1,5,5,0,5,6,6,3,5,5,1,6,0,1,6,3,1,7,2,0,5,0,0,1,2,6,0,3,1,2,7,4,2,2,5,4,0,7,7,0,0,2,5,6,5,0,0,4,7,
5,3,3,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,
10,3,3,4,4,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,4,3,3,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,4,3,3,4,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,3,4,3,3,
15,3,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,4,3,3,4,4,3,3,3,3,4,3,4,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,3,4,3,3,4,
20,3,3,4,4,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,4,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,
25,3,3,4,4,3,3,3,3,4,3,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,4,3,4,3,4,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,
30,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,3,4,3,3,3,4,4,
35,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,4,4,3,3,3,3,4,3,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,4,3,4,4,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,4,4,3,4,3,4,3,3,3,3,3,
40,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,4,3,
45,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,4,3,3,4,4,3,3,3,3,4,3,4,3,4,3,4,4,3,3,4,3,4,3,4,3,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,4,3,3,4,4,4,4,3,4,4,4,3,3,
